cm,x,y,z,mx,my,mz
0,39.3609,6.565,35,39.3609,6.565,0
0,39.3609,7.575,35,39.3609,7.575,0
0,38.4862,8.08,35,38.4862,8.08,0
0,37.6115,8.585,35,37.6115,8.585,0
0,36.7368,9.09,35,36.7368,9.09,0
0,35.8621,9.595,35,35.8621,9.595,0
0,35.8621,10.605,35,35.8621,10.605,0
0,34.9874,10.1,35,34.9874,10.1,0
0,34.9874,11.11,35,34.9874,11.11,0
0,34.1127,10.605,35,34.1127,10.605,0
0,34.1127,11.615,35,34.1127,11.615,0
0,33.2381,11.11,35,33.2381,11.11,0
0,33.2381,12.12,35,33.2381,12.12,0
0,32.3634,11.615,35,32.3634,11.615,0
0,31.6285,11.5553,-11.158,31.6285,11.5553,-11.158
0,31.0126,13.6513,27.7031,31.0126,12.2782,1.50313
0,30.1379,13.1459,27.7097,30.1379,12.7076,19.3462
0,29.5027,13.0194,25.3478,29.5027,13.0194,25.3478
0,28.8839,12.5274,35,28.8839,13.1995,22.1753
0,28.0092,12.2893,49.1911,28.0092,13.5426,25.2777
0,27.3838,13.7879,19.7662,27.3838,13.7879,19.7662
0,26.7552,12.6751,-0.572192,26.7552,13.746,19.8609
0,25.8805,12.6755,-10.2148,25.8805,13.8878,12.9186
0,22.8034,15.2707,-9.39105,24.1879,14.4713,21.1151
0,21.9296,14.7652,-9.38444,22.4995,14.4362,3.17227
0,21.494,15.0167,0.264758,22.4995,14.4362,22.4177
0,21.1614,14.5396,-20.184,21.1614,14.5396,-20.184
0,20.25,14.9969,-39.151,20.25,14.9969,-39.151
0,21.1991,14.5647,-0.586907,21.1991,14.5647,-0.586907
0,20.2918,15.031,-19.6876,20.2918,15.031,-19.6876
0,20.9925,14.14,35,20.9925,14.14,0
0,20.1178,14.645,35,20.1178,14.645,0
0,19.2431,14.14,35,19.2431,14.14,0
0,18.3684,13.635,35,18.3684,13.635,0
0,17.4937,14.14,35,17.4937,14.14,0
0,16.619,13.635,35,16.619,13.635,0
0,15.7443,14.14,35,15.7443,14.14,0
0,15.7443,13.13,35,15.7443,13.13,0
0,14.8697,13.635,35,14.8697,13.635,0
0,13.995,13.13,35,13.995,13.13,0
0,13.1203,12.625,35,13.1203,12.625,0
0,12.2456,12.12,35,12.2456,12.12,0
0,11.3709,12.625,35,11.3709,12.625,0
1,-17.4937,-36.36,35,-17.4937,-36.36,0
1,-18.3684,-35.855,35,-18.3684,-35.855,0
1,-18.3684,-34.845,35,-18.3684,-34.845,0
1,-19.2431,-34.34,35,-19.2431,-34.34,0
1,-19.2431,-33.33,35,-19.2431,-33.33,0
1,-19.2431,-32.32,35,-19.2431,-32.32,0
1,-20.1178,-31.815,35,-20.1178,-31.815,0
1,-20.1178,-30.805,35,-20.1178,-30.805,0
1,-20.1178,-29.795,35,-20.1178,-29.795,0
1,-20.1178,-28.785,35,-20.1178,-28.785,0
1,-20.1178,-27.775,35,-20.1178,-27.775,0
1,-20.9925,-27.27,35,-20.9925,-27.27,0
1,-20.9925,-26.26,35,-20.9925,-26.26,0
1,-20.1178,-26.765,35,-20.1178,-26.765,0
1,-20.9925,-25.25,35,-20.9925,-25.25,0
1,-20.1178,-25.755,35,-20.1178,-25.755,0
1,-20.6334,-24.6437,51.0289,-20.6334,-24.6437,51.0289
1,-19.733,-25.123,70.3005,-19.733,-25.123,70.3005
1,-21.0446,-23.6601,35,-20.6364,-23.8958,43.9934
1,-21.0452,-22.6498,35,-20.6891,-22.8554,42.8463
1,-20.7269,-22.1094,35.1027,-20.7269,-22.1094,35.1027
1,-20.4089,-21.5692,35,-20.5185,-21.5059,37.416
1,-20.4095,-20.5588,35,-20.3996,-20.5645,34.7819
1,-20.3131,-19.8801,39.9274,-20.3131,-19.8801,39.9274
1,-20.2297,-19.2146,35,-19.9816,-19.3578,40.4669
1,-19.3545,-18.7099,35,-19.6901,-18.5162,27.6048
1,-19.4869,-17.9296,25.4535,-19.4869,-17.9296,25.4535
1,-19.594,-17.1236,35,-19.1856,-17.3595,26.0004
1,-19.5946,-16.1133,35,-18.8336,-16.5526,18.2332
1,-18.6421,-16.1135,19.1085,-18.6421,-16.1135,19.1085
1,-18.3684,-15.655,35,-18.3684,-15.655,0
1,-18.3684,-14.645,35,-18.3684,-14.645,0
1,-18.3684,-13.635,35,-18.3684,-13.635,0
1,-17.4937,-13.13,35,-17.4937,-13.13,0
1,-17.4937,-12.12,35,-17.4937,-12.12,0
