evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
0,3,64,1.3538e-05,0.00283628,1.8439e-05,8.6752e-05,4.4125e-05,0.00306353
2,9,116,1.5382e-05,0.00230397,0.000191818,0.000241704,4.8465e-05,0.00287219
3,3,58,6.505e-06,0.00219227,8.34e-06,7.0605e-05,2.5056e-05,0.00234003
4,4,135,1.8803e-05,0.00230189,0.0001797,0.000156117,3.1451e-05,0.00275865
5,1,27,3.706e-06,0.0018843,3.561e-06,2.7752e-05,1.2137e-05,0.00194256
6,6,161,2.2436e-05,0.00240345,0.00022251,0.000167328,3.4882e-05,0.00293183
7,2,49,7.254e-06,0.00196679,6.051e-06,4.6848e-05,2.0621e-05,0.00206771
8,3,45,6.125e-06,0.0020906,6.269e-06,4.4001e-05,1.8522e-05,0.00219885
9,11,362,4.8304e-05,0.0023911,0.00117953,0.000692446,0.000175196,0.00493886
10,11,144,2.5561e-05,0.00238608,4.95e-05,0.000170461,4.5109e-05,0.00276317
11,4,70,8.468e-06,0.00213116,0.000153335,0.000124638,2.852e-05,0.00250985
12,3,60,6.574e-06,0.00214227,8.995e-06,6.2274e-05,1.5593e-05,0.00227112
13,4,56,8.526e-06,0.00213883,1.1039e-05,7.7741e-05,2.2844e-05,0.00228394
14,3,45,8.66e-06,0.0021671,1.1437e-05,5.4443e-05,2.5266e-05,0.00229508
15,1,11,2.688e-06,0.0018432,4.989e-06,1.4077e-05,2.709e-06,0.001877
16,8,123,1.7488e-05,0.00229185,0.000145662,0.000140646,3.7581e-05,0.00269975
17,5,22,4.177e-06,0.00237874,7.63e-06,4.3549e-05,1.1579e-05,0.00246067
18,3,69,9.676e-06,0.001909,0.000212671,8.2754e-05,1.3434e-05,0.00225931
19,8,247,4.5e-05,0.00252924,0.000903751,0.000385078,8.0809e-05,0.00414834
20,1,22,4.254e-06,0.00213652,6.671e-06,2.7692e-05,1.3773e-05,0.0021995
21,4,163,2.3051e-05,0.00208812,5.8753e-05,0.000150964,4.639e-05,0.00250851
23,7,175,4.1024e-05,0.00264149,0.000785526,0.000214554,5.4153e-05,0.00389238
24,5,73,1.9606e-05,0.00200002,8.159e-06,8.6254e-05,3.1007e-05,0.00220183
25,1,25,3.522e-06,0.00216671,5.601e-06,2.8625e-05,1.3589e-05,0.00222991
27,1,25,3.821e-06,0.00187283,7.266e-06,4.2001e-05,1.1736e-05,0.00195129
29,2,24,4.765e-06,0.00212649,6.348e-06,2.9915e-05,1.2243e-05,0.00219127
30,6,85,1.4904e-05,0.00219123,2.9259e-05,0.00010896,2.9285e-05,0.00242253
31,8,203,2.8013e-05,0.00213568,0.000692161,0.000241009,5.5182e-05,0.00328411
32,1,22,4.056e-06,0.00235538,5.082e-06,2.7238e-05,1.2612e-05,0.00241583
33,2,44,7.328e-06,0.00191232,8.075e-06,7.5368e-05,1.9469e-05,0.00204497
34,5,101,1.142e-05,0.00197068,0.000165182,0.000122243,2.8986e-05,0.00235203
35,3,79,9.427e-06,0.00199982,8.193e-06,7.7356e-05,2.6354e-05,0.00215446
37,6,75,8.685e-06,0.00195741,9.289e-06,7.6412e-05,2.592e-05,0.0021206
38,2,52,5.247e-06,0.00211239,4.565e-06,4.9947e-05,2.2316e-05,0.00222019
39,7,226,3.9477e-05,0.00220924,0.000435896,0.000262654,5.884e-05,0.00331421
41,6,106,2.1473e-05,0.00210605,0.000165004,0.000197874,3.8076e-05,0.00266183
42,2,31,4.444e-06,0.0022585,5.8e-06,3.3052e-05,1.4815e-05,0.00233198
43,5,87,2.0065e-05,0.00219031,0.000246907,0.00020662,3.0776e-05,0.00274392
44,1,25,4.48e-06,0.0022465,4.116e-06,2.6945e-05,1.3571e-05,0.00230736
45,6,121,1.7312e-05,0.00209117,3.2418e-05,0.000146351,3.4431e-05,0.00243295
46,5,91,1.0248e-05,0.00227608,1.6638e-05,9.1612e-05,3.1276e-05,0.00250708
47,5,95,1.4588e-05,0.00233728,1.3573e-05,0.000112031,3.5256e-05,0.00265949
48,5,179,2.1143e-05,0.0023831,0.000521643,0.000195061,5.2379e-05,0.00327639
50,4,315,3.9271e-05,0.00213733,0.00200681,0.000715265,0.000129282,0.00531554
53,1,11,3.513e-06,0.00193664,5.3e-06,1.5625e-05,9.699e-06,0.0019816
54,1,25,4.131e-06,0.00185856,5.23e-06,2.9228e-05,1.4045e-05,0.00192581
56,6,98,1.5308e-05,0.00216677,0.0002647,0.000122123,2.7001e-05,0.00265225
59,3,37,6.711e-06,0.00189848,1.0159e-05,9.8521e-05,1.7843e-05,0.00206379
60,5,93,1.2121e-05,0.00208411,0.000267162,0.000120154,2.5679e-05,0.00255804
65,3,74,1.1069e-05,0.00201515,8.647e-06,8.8141e-05,2.6774e-05,0.0021896
66,4,158,2.4579e-05,0.00233578,1.4515e-05,0.00014385,3.7515e-05,0.0026717
67,5,89,8.967e-06,0.00217612,1.2149e-05,0.0001191,2.7617e-05,0.00239049
68,5,103,1.5043e-05,0.00202313,1.3083e-05,0.000119736,3.4551e-05,0.00229251
69,1,24,4.213e-06,0.00238036,6.347e-06,4.7448e-05,1.2121e-05,0.00246631
71,1,24,4.648e-06,0.00207557,3.541e-06,2.7526e-05,1.2452e-05,0.00213926
72,3,53,7e-06,0.00198141,7.297e-06,6.6813e-05,2.1113e-05,0.00211282
73,9,330,7.6374e-05,0.002743,0.00172796,0.000424403,9.8935e-05,0.00536893
74,4,97,1.1761e-05,0.00228255,1.187e-05,9.7015e-05,3.2452e-05,0.00248066
75,2,29,4.815e-06,0.00197114,5.225e-06,3.4596e-05,1.4416e-05,0.00204628
76,11,184,3.0539e-05,0.00220672,0.000325492,0.000239962,5.93e-05,0.00319433
77,6,134,1.327e-05,0.00232091,0.00010701,0.000175822,3.6821e-05,0.0027574
79,4,82,1.2773e-05,0.00201465,0.000316102,9.0524e-05,2.8998e-05,0.00254408
80,5,125,1.6984e-05,0.00224201,1.228e-05,0.000111253,4.3542e-05,0.00252786
81,5,118,1.2056e-05,0.00220846,0.000355352,0.000139537,4.185e-05,0.00286449
82,2,52,6.225e-06,0.00258817,5.304e-06,4.7156e-05,2.1904e-05,0.00270338
83,5,89,9.969e-06,0.00250165,5.3789e-05,0.000117562,2.6447e-05,0.00275329
84,12,171,3.09e-05,0.00235109,3.7567e-05,0.000166343,5.5653e-05,0.00276415
85,1,34,4.635e-06,0.00238058,3.758e-06,3.2329e-05,1.4281e-05,0.00245365
86,4,166,2.5176e-05,0.00217527,0.000288716,0.000277408,5.272e-05,0.0029737
87,7,145,1.8893e-05,0.00206048,0.000266928,0.000453111,5.1e-05,0.00304611
