evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
0,16,457,6.9371e-05,0.00318506,0.00124768,0.000672242,0.000231365,0.00592559
1,8,172,1.8318e-05,0.00175363,0.000199641,0.00016495,5.9361e-05,0.00232042
2,12,258,3.8534e-05,0.00211529,0.000559613,0.000256413,8.1031e-05,0.00327729
3,12,278,3.874e-05,0.00196172,0.00106318,0.000317174,8.037e-05,0.00367634
4,10,235,3.592e-05,0.00193443,0.00018679,0.000249866,6.7441e-05,0.00263616
5,9,146,1.7334e-05,0.00170067,0.000449854,0.000166884,4.2436e-05,0.00249278
6,22,596,0.000110966,0.00315775,0.00184079,0.000702818,0.000256416,0.00695547
7,3,55,8.449e-06,0.00156162,7.1586e-05,4.4092e-05,1.4146e-05,0.00172662
8,17,415,5.4756e-05,0.00240754,0.0013273,0.000775424,0.000171764,0.0052692
9,14,283,3.8414e-05,0.00205755,0.000960172,0.000334575,8.9123e-05,0.00372726
10,14,454,5.4612e-05,0.00260799,0.00108325,0.000431734,0.00015658,0.00479716
11,8,151,1.7433e-05,0.00183031,0.000155334,0.000115032,4.158e-05,0.00224996
12,11,243,2.9444e-05,0.00202709,0.000748943,0.000241024,7.4678e-05,0.00329603
13,14,387,4.7142e-05,0.00269473,0.00117195,0.000441808,0.000131522,0.00491311
14,16,405,5.2278e-05,0.00240655,0.00132659,0.000592879,0.000159292,0.00497985
15,17,410,5.4674e-05,0.00253813,0.000734133,0.000581363,0.000184735,0.00449129
16,6,129,1.5491e-05,0.00187055,3.7787e-05,0.000105972,3.1258e-05,0.00212924
17,11,230,3.1588e-05,0.00205345,0.000300624,0.000202506,6.4103e-05,0.00282917
18,19,360,6.1147e-05,0.00250673,0.000826338,0.000427398,0.000121922,0.00437598
19,11,191,2.4487e-05,0.00190648,0.000200337,0.000218402,6.1824e-05,0.0025355
20,7,171,2.0792e-05,0.00185217,0.000433252,0.000245312,5.5812e-05,0.00270756
