evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
0,7,266,3.905e-05,0.00294975,0.000720306,0.000351835,0.000102334,0.00436414
1,2,26,3.526e-06,0.00156074,3.668e-06,2.5229e-05,1.3766e-05,0.00161758
2,3,78,1.0441e-05,0.00166565,0.000124205,0.000102248,1.9735e-05,0.00195501
3,4,109,1.2322e-05,0.00188032,1.419e-05,0.000151864,3.4112e-05,0.00214037
4,4,65,7.697e-06,0.00163026,8.88e-06,6.9748e-05,2.8873e-05,0.0017815
5,3,100,1.0603e-05,0.00169217,8.732e-06,7.7573e-05,3.3489e-05,0.00186858
8,6,122,1.7648e-05,0.00174502,0.000233487,0.000112439,3.3829e-05,0.00221642
10,5,128,1.928e-05,0.00175796,2.9886e-05,0.000120107,4.0285e-05,0.00203376
11,1,18,3.36e-06,0.00157206,5.247e-06,2.1566e-05,1.2919e-05,0.00162464
12,1,26,4.443e-06,0.00156381,3.584e-06,2.4923e-05,1.2935e-05,0.00162108
13,4,138,2.0263e-05,0.00179756,0.000131004,0.000140692,3.3846e-05,0.00218339
14,7,117,1.6948e-05,0.00175903,1.3305e-05,0.000101147,3.8784e-05,0.00198773
17,7,157,2.6659e-05,0.00181577,0.000143659,0.000170227,5.1851e-05,0.00229705
19,3,79,9.547e-06,0.00162799,5.702e-06,4.7218e-05,1.647e-05,0.00174242
21,2,11,2.908e-06,0.00154748,1.9183e-05,1.1067e-05,2.76e-06,0.00159183
22,4,47,5.106e-06,0.00164483,8.298e-06,5.5552e-05,1.6908e-05,0.00175311
23,3,91,1.0802e-05,0.00168499,0.00023068,8.1885e-05,2.2764e-05,0.00207532
24,9,201,3.0814e-05,0.00185295,0.000243297,0.000301509,7.9252e-05,0.00266035
25,6,233,2.9015e-05,0.00185448,0.000464143,0.00030292,7.5334e-05,0.00286678
26,7,180,1.9093e-05,0.00199714,0.000145947,0.000149637,5.2608e-05,0.00246638
