evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
0,7,266,0.000523948,0.0403414,0.00722578,0.0091029,0.000322851,0.0595422
1,2,26,0.000158368,0.00773684,3.403e-06,0.000658472,1.4314e-05,0.00877402
2,3,78,0.000226492,0.0186313,0.00250218,0.00276744,0.000176273,0.024939
3,4,109,0.000271294,0.0255945,6.7643e-05,0.00448862,7.8023e-05,0.031741
4,4,65,0.000203781,0.0113657,3.0035e-05,0.00155738,7.5594e-05,0.0137681
5,3,100,0.000475153,0.0206638,2.2359e-05,0.00234075,0.000167753,0.0246338
8,6,122,0.000292065,0.0169785,0.00532371,0.00351918,0.000168229,0.0275723
10,5,128,0.000355178,0.0248254,1.6605e-05,0.00395736,3.519e-05,0.0302177
11,1,18,8.8092e-05,0.00606905,1.2153e-05,0.000758397,1.3649e-05,0.00714291
12,1,26,0.000136055,0.00796496,3.411e-06,0.000869082,1.4794e-05,0.00921885
13,4,138,0.000354084,0.0223156,0.00328386,0.0034641,3.258e-05,0.0304338
14,7,117,0.000434808,0.0228553,5.049e-05,0.00376309,0.000246124,0.0284375
17,7,157,0.00051203,0.031416,0.00188809,0.0105612,4.3941e-05,0.0461646
19,3,79,0.000142926,0.0076375,7.139e-06,0.000729478,4.8047e-05,0.00885803
21,2,11,3.0426e-05,0.00369841,2.9494e-05,5.967e-05,6.616e-06,0.00384723
22,4,47,9.4954e-05,0.0076101,1.5037e-05,0.00100176,6.4181e-05,0.00918231
23,3,91,9.8747e-05,0.0152236,0.00640353,0.00206399,4.0456e-05,0.0243388
24,9,201,0.000474273,0.029517,0.00463225,0.0250089,0.000187218,0.0633119
25,6,233,0.00128628,0.0370953,0.0135118,0.03592,0.000272398,0.0944087
26,7,180,0.000680373,0.0335908,0.00208344,0.00500623,7.6879e-05,0.0428594
30,3,55,0.00012296,0.00818603,0.000113156,0.00127068,3.1271e-05,0.0100379
32,2,82,0.000157951,0.0165967,0.00420432,0.00231264,5.2321e-05,0.0237941
33,5,143,0.000218474,0.0173146,0.00335727,0.00406974,0.000120781,0.0258525
34,5,96,0.000256677,0.0156933,0.000938649,0.00329527,0.000133197,0.0217549
35,5,126,0.000344155,0.0243073,5.5225e-05,0.00383856,3.4674e-05,0.029568
36,2,36,0.00014222,0.00655591,6.163e-06,0.000618435,2.209e-05,0.0076193
37,3,41,0.000115703,0.0104199,8.645e-06,0.00106951,1.7651e-05,0.0119209
38,5,139,0.000279071,0.02801,0.00207233,0.0231109,9.8148e-05,0.0572287
39,4,75,0.000194278,0.00997706,0.000121261,0.00189086,3.3376e-05,0.0127786
40,1,26,0.000124661,0.00625329,3.358e-06,0.00061339,1.4445e-05,0.00721058
41,3,64,0.000333866,0.0131521,1.7139e-05,0.00186212,2.4379e-05,0.0160379
43,10,366,0.00067776,0.0522543,0.0257854,0.0198222,0.000674332,0.102431
45,3,22,2.8012e-05,0.00229334,6.006e-06,2.8327e-05,8.799e-06,0.00239727
46,1,25,0.000135751,0.00656808,3.469e-06,0.000657831,1.5581e-05,0.00759336
47,4,106,0.000350858,0.0196893,0.00215669,0.00275963,2.8498e-05,0.0259448
48,1,27,0.000141585,0.00733348,4.139e-06,0.000929669,1.7267e-05,0.00871862
49,5,96,0.000271886,0.0153596,0.0080799,0.0116543,4.293e-05,0.0370595
50,4,104,0.000192372,0.0129001,0.000330976,0.00325243,6.7609e-05,0.0178432
51,1,25,0.000120115,0.00553156,3.308e-06,0.000521777,1.3657e-05,0.00641288
52,4,76,0.000224675,0.0151908,1.4604e-05,0.00179996,8.1933e-05,0.0178123
53,5,106,0.000246264,0.0181854,0.00291556,0.00230267,0.000150558,0.0244696
54,4,172,0.000260207,0.0159826,0.000691555,0.00210199,0.000215083,0.0199539
55,1,59,0.000145684,0.0204843,0.00113408,0.00251117,1.8252e-05,0.0246854
57,8,148,0.000464654,0.0193524,0.00559671,0.00368013,0.000254931,0.0302965
59,7,261,0.000498844,0.038239,0.0232741,0.0112733,0.00063524,0.0756717
60,6,65,0.000226783,0.0132699,2.1798e-05,0.00133011,2.3453e-05,0.0153136
63,11,345,0.000691423,0.0509995,0.014965,0.0549805,0.000286357,0.130325
65,3,76,0.000196176,0.0135246,4.7981e-05,0.00190641,2.1998e-05,0.0162519
66,3,54,0.000131866,0.0135016,1.832e-05,0.0021328,9.5309e-05,0.0162964
68,3,28,0.000150558,0.00615249,1.9269e-05,0.000287139,0.000171192,0.006894
69,6,158,0.000416407,0.0217596,0.000102269,0.00331156,4.4244e-05,0.0267403
70,2,52,0.000174307,0.0112711,5.409e-06,0.00139282,2.0485e-05,0.0133655
72,3,61,0.000183362,0.0130933,1.3499e-05,0.0217273,4.9009e-05,0.0391478
73,3,36,0.000136026,0.00498102,3.2537e-05,0.000440614,0.000134572,0.0341228
74,4,124,0.00020204,0.0145391,0.000801676,0.00265526,0.000202239,0.0190549
75,9,150,0.000344746,0.0213199,0.00499841,0.00391097,0.000187039,0.0317188
76,4,43,0.000150845,0.00906445,5.2626e-05,0.00279092,2.9214e-05,0.0124694
78,3,72,0.000219521,0.0129986,0.000238676,0.00162328,2.2628e-05,0.0156041
79,4,78,0.000261056,0.0158313,2.8725e-05,0.0018024,2.605e-05,0.0185117
82,2,30,0.000126541,0.00648326,6.28e-06,0.000681401,1.6734e-05,0.00751866
83,5,142,0.000302631,0.0326437,0.00897966,0.00440898,7.4721e-05,0.0473036
84,2,36,0.000131262,0.00697407,8.292e-06,0.000654086,6.8476e-05,0.0080997
85,2,52,0.000189527,0.0122918,2.192e-05,0.00198777,2.0886e-05,0.0149437
86,10,148,0.000409492,0.019113,0.00131532,0.00317977,0.000706317,0.0268335
87,3,59,0.000261973,0.0108576,2.1928e-05,0.0013007,8.0434e-05,0.013016
88,3,78,7.9601e-05,0.0128058,0.00133469,0.00108499,8.7099e-05,0.0156617
89,2,27,3.9676e-05,0.00461109,8.327e-06,0.000369508,6.6371e-05,0.00521006
91,1,25,0.000107224,0.00621981,1.2271e-05,0.000622468,1.3953e-05,0.00717274
92,2,46,0.000159755,0.0102551,1.1404e-05,0.00161006,2.1675e-05,0.012421
93,2,28,0.000121842,0.00611188,6.413e-06,0.000593083,1.438e-05,0.00703635
96,3,113,0.000197902,0.0187885,0.0123713,0.00293956,3.4983e-05,0.0347903
97,2,51,0.000205872,0.0104747,2.5177e-05,0.0017094,3.2055e-05,0.0131984
98,1,26,0.00014246,0.00671013,4.56e-06,0.000813535,1.6755e-05,0.00791501
99,1,26,0.000123895,0.00617,3.583e-06,0.000541167,1.4041e-05,0.00709564
100,9,108,0.000273761,0.0157956,0.00449419,0.00281835,0.000129667,0.0242395
105,4,59,0.000224353,0.0113335,8.1245e-05,0.00575742,0.000183829,0.0183837
106,9,550,0.00124721,0.0790709,0.0920333,0.14935,0.000311314,0.350729
108,1,26,0.000111596,0.00576167,3.481e-06,0.000521341,1.4358e-05,0.00660424
109,6,169,0.000418044,0.0265443,0.000110338,0.00410403,6.6301e-05,0.0323838
111,7,273,0.000625489,0.0368374,0.017452,0.00725198,0.000215124,0.0643047
112,4,75,0.000234377,0.0108648,3.7024e-05,0.00182789,8.0215e-05,0.0135885
113,4,126,0.000209148,0.0177013,0.00894368,0.00289137,9.8801e-05,0.0304179
114,4,97,0.000334605,0.017705,0.00110531,0.00275201,2.9921e-05,0.0317798
116,1,11,9.6348e-05,0.00267909,3.225e-06,5.2717e-05,7.6463e-05,0.0029667
120,9,127,0.000395043,0.0294728,0.0109521,0.00598994,3.3145e-05,0.0479162
121,3,55,0.000247681,0.0106108,1.1737e-05,0.00138232,2.0982e-05,0.0127322
122,5,87,0.000273031,0.015016,3.2436e-05,0.0021333,0.000115151,0.0182252
123,5,168,0.000283388,0.0402886,0.00999654,0.0138918,7.0046e-05,0.0664485
124,4,70,0.000228099,0.0113482,1.3683e-05,0.00134957,4.8539e-05,0.0134351
