ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
1,-2.62406,17.675,35,0,0,1,75,1,0,0,1,-1,3
2,-3.49874,17.17,35,0,0,1,75,1,0,0,1,0,4
3,-4.37343,16.665,35,0,0,1,75,1,0,0,1,0,4
4,-5.24811,16.16,35,0,0,1,75,1,0,0,1,0,4
5,-6.1228,15.655,35,0,0,1,75,1,0,0,1,0,4
6,-6.99749,15.15,35,0,0,1,75,1,0,0,1,0,4
7,-7.87217,14.645,35,0,0,1,75,1,0,0,1,0,4
8,-8.74686,14.14,35,0,0,1,75,1,0,0,1,0,4
9,-9.62154,13.635,35,0,0,1,75,1,0,0,1,0,4
10,-10.4962,13.13,35,0,0,1,75,1,0,0,1,0,4
11,-11.3709,12.625,35,0,0,1,75,1,0,0,1,0,4
12,-12.2456,12.12,35,0,0,1,75,1,0,0,1,0,4
13,-13.1203,11.615,35,0,0,1,75,1,0,0,1,0,4
14,-13.995,11.11,35,0,0,1,75,1,0,0,1,0,4
15,-14.8697,10.605,35,0,0,1,75,1,0,0,1,0,4
16,-15.7443,10.1,35,0,0,1,75,1,0,0,1,0,4
17,-16.619,9.595,35,0,0,1,75,1,0,0,1,1,5
18,-16.619,8.585,35,0,0,1,75,1,1,0,1,-1,4
19,-16.619,7.575,35,0,0,1,75,1,1,0,1,0,4
20,-16.619,6.565,35,0,0,1,75,1,1,0,1,0,4
21,-16.619,5.555,35,0,0,1,75,1,1,0,1,0,4
22,-16.619,4.545,35,0,0,1,75,1,1,0,1,0,4
23,-16.619,3.535,35,0,0,1,75,1,1,0,1,0,4
24,-16.619,2.525,35,0,0,1,75,1,1,0,1,0,4
25,-16.619,1.515,35,0,0,1,75,1,1,0,1,0,4
26,-16.619,0.505,35,0,0,1,75,1,1,0,1,0,4
27,-16.619,-0.505,35,0,0,1,75,1,1,0,1,0,4
28,-16.619,-1.515,35,0,0,1,75,1,1,0,1,0,4
29,-16.619,-2.525,35,0,0,1,75,1,1,0,1,0,4
30,-16.619,-3.535,35,0,0,1,75,1,1,0,1,0,4
31,-16.619,-4.545,35,0,0,1,75,1,1,0,1,0,4
32,-16.619,-5.555,35,0,0,1,75,1,1,0,1,0,4
33,-16.619,-6.565,35,0,0,1,75,1,1,0,1,0,4
34,-16.619,-7.575,35,0,0,1,75,1,1,0,1,0,4
35,-16.619,-8.585,35,0,0,1,75,1,1,0,1,1,4
36,-16.619,-9.595,35,0,0,1,75,1,2,0,1,-1,5
37,-15.7443,-10.1,35,0,0,1,75,1,2,0,1,0,4
38,-14.8697,-10.605,35,0,0,1,75,1,2,0,1,0,4
39,-13.995,-11.11,35,0,0,1,75,1,2,0,1,0,4
40,-13.1203,-11.615,35,0,0,1,75,1,2,0,1,0,4
